马克思　恩格斯：《共产党宣言》	Manifest der Kommunistischen Partei Karl MarxFriedrich Engels
共产党人把自己的主要注意力集中在德国，因为德国正处在资产阶级革命的前夜，因为同十七世纪的英国和十八世纪的法国相比，德国将在整个欧洲文明更进步的条件下，拥有发展得多的无产阶级去实现这个变革，因而德国的资产阶级革命只能是无产阶级革命的直接序幕。	Auf Deutschland richten die Kommunisten ihre Hauptaufmerksamkeit, weil Deutschland am Vorabend einer bürgerlichen Revolution steht, und weil es diese Umwälzung unter fortgeschritteneren Bedingungen der europäischen Civilisation überhaupt, und mit einem viel weiter entwickelten Proletariat vollbringt als England im siebenzehnten und Frankreich im achtzehnten Jahrhundert, die deutsche bürgerliche Revolution also nur das unmittelbare Vorspiel einer proletarischen Revolution sein kann.
总之，共产党人到处都支持一切反对现存的社会制度和政治制度的革命运动。	Mit einem Wort, die Kommunisten unterstützen überall jede revolutionäre Bewegung gegen die bestehenden gesellschaftlichen und politischen Zustände.
在所有这些运动中，他们都特别强调所有制问题，把它作为运动的基本问题，不管这个问题当时的发展程度怎样。	In allen diesen Bewegungen heben sie die Eigenthumsfrage, welche mehr oder minder entwickelte Form sie auch angenommen haben möge, als die Grundfrage der Bewegung hervor.
最后，共产党人到处都努力争取全世界的民主政党之间的团结和协议。	Die Kommunisten arbeiten endlich überall an der Verbindung und Verständigung der demokratischen Parteien aller Länder.
共产党人不屑于隐瞒自己的观点和意图。	Die Kommunisten verschmähen es, ihre Ansichten und Absichten zu verheimlichen.
他们公开宣布：他们的目的只有用暴力推翻全部现存的社会制度才能达到。	Sie erklären es offen, daß ihre Zwecke nur erreicht werden können durch den gewaltsamen Umsturz aller bisherigen Gesellschaftsordnung.
让统治阶级在共产主义革命面前发抖吧。	Mögen die herrschenden Klassen vor einer Kommunistischen Revolution zittern.
无产者在这个革命中失去的只是锁链。	Die Proletarier haben nichts in ihr zu verlieren als ihre Ketten.
他们获得的将是整个世界。	Sie haben eine Welt zu gewinnen.
全世界无产者，联合起来！	Proletarier aller Länder vereinigt Euch!
